Time,Anchor1,Anchor2,Anchor3,Anchor4,Filtered_X,Filtered_Y
22:03:23,4.61,2.46,0.61,2.36,4.01,4.09
22:03:23,3.6,2.49,0.6,2.31,3.31,3.42
22:03:24,3.71,2.37,0.62,2.28,3.16,3.25
22:03:24,3.81,2.32,0.59,2.33,3.12,3.19
22:03:24,3.87,2.33,0.57,2.3,3.11,3.17
22:03:24,3.87,2.28,0.61,2.35,3.12,3.15
22:03:24,3.91,2.29,0.6,2.34,3.13,3.15
22:03:25,3.83,2.29,0.6,2.32,3.12,3.13
22:03:25,3.88,2.32,0.61,2.36,3.12,3.1 3
22:03:25,3.87,2.32,0.61,2.33,3.11,3.12
22:03:25,3.74,2.33,0.63,2.29,3.09,3.10
22:03:25,3.73,2.35,0.58,2.35,3.06,3.07
22:03:25,3.84,2.38,0.6,2.31,3.05,3.07
22:03:26,3.78,2.33,0.6,2.3,3.04,3.06
22:03:26,3.87,2.35,0.59,2.34,3.05,3.06
22:03:26,3.77,2.38,0.59,2.33,3.03,3.05
22:03:26,3.75,2.36,0.57,2.34,3.02,3.03
22:03:26,3.83,2.39,0.58,2.32,3.01,3.04
22:03:27,3.74,2.35,0.58,2.32,3.00,3.02
22:03:27,3.74,2.36,0.61,2.31,2.99,3.01
22:03:27,3.7,2.41,0.6,2.32,2.96,2.99
22:03:27,3.77,2.33,0.62,2.28,2.96,2.99
22:03:27,3.7,2.31,0.59,2.34,2.95,2.98
22:03:27,3.73,2.3,0.61,2.31,2.95,2.97
22:03:28,3.75,2.35,0.59,2.34,2.95,2.97
22:03:28,3.73,2.36,0.6,2.29,2.94,2.96
22:03:28,3.74,2.28,0.61,2.3,2.94,2.96
22:03:28,3.78,2.26,0.61,2.32,2.95,2.96
22:03:28,3.9,2.42,0.62,2.28,2.97,2.99
22:03:28,3.69,2.34,0.58,2.32,2.95,2.97
22:03:29,3.79,2.34,0.59,2.3,2.96,2.98
22:03:29,3.88,2.34,0.61,2.34,2.98,3.00
22:03:29,3.9,2.41,0.58,2.31,2.99,3.02
22:03:29,3.94,2.46,0.61,2.29,3.00,3.04
22:03:29,3.88,2.46,0.61,2.35,3.00,3.05
22:03:30,3.92,2.44,0.63,2.34,3.01,3.06
22:03:30,3.86,2.31,0.6,2.31,3.02,3.06
22:03:30,3.92,2.33,0.6,2.29,3.04,3.08
22:03:30,3.8,2.33,0.6,2.28,3.03,3.08
22:03:30,3.85,2.28,0.58,2.29,3.04,3.08
22:03:31,3.84,2.41,0.63,2.31,3.04,3.08
22:03:31,3.89,2.36,0.77,2.4,3.04,3.08
22:03:31,3.83,2.33,0.7,2.41,3.04,3.06
22:03:31,3.83,2.46,0.7,2.27,3.03,3.07
22:03:31,3.91,2.53,0.79,2.29,3.02,3.08
22:03:31,3.47,2.34,0.47,2.28,2.97,3.02
22:03:32,3.59,2.16,0.38,2.33,2.95,2.98
22:03:32,3.52,1.95,0.44,2.21,2.95,2.95
22:03:32,3.29,2.12,0.4,2.17,2.90,2.90
22:03:32,3.58,2.0,0.36,2.1,2.91,2.90
22:03:32,3.79,2.07,0.42,2.17,2.94,2.93
22:03:32,3.56,1.86,0.4,2.05,2.96,2.92
22:03:33,3.28,1.96,0.41,2.05,2.92,2.88
22:03:33,3.69,1.91,0.39,2.05,2.95,2.90
22:03:33,3.82,1.89,0.42,2.1,3.00,2.94
22:03:33,3.88,2.02,0.35,2.14,3.04,2.98
22:03:33,3.28,2.11,0.39,2.17,2.98,2.92
22:03:34,3.15,1.96,0.39,2.12,2.92,2.85
22:03:34,3.06,2.15,0.17,2.01,2.83,2.79
22:03:34,3.08,2.24,0.24,2.01,2.76,2.74
22:03:34,3.15,2.26,0.3,2.09,2.70,2.70
22:03:34,3.1,2.51,0.29,2.47,2.61,2.62
22:03:34,3.2,2.49,0.26,2.13,2.55,2.60
22:03:35,3.12,1.9,0.26,2.27,2.55,2.55
22:03:35,3.08,1.83,0.3,2.29,2.54,2.51
22:03:35,3.11,1.75,0.31,2.1,2.55,2.49
22:03:35,3.14,1.63,0.32,2.7,2.57,2.42
22:03:35,3.14,1.71,0.35,2.43,2.58,2.38
22:03:35,3.16,1.67,0.32,2.47,2.60,2.35
22:03:36,3.12,1.74,0.33,2.16,2.60,2.35
22:03:36,3.11,1.62,0.31,2.07,2.61,2.36
22:03:36,3.12,1.75,0.3,2.16,2.61,2.35
22:03:36,3.1,2.48,0.28,2.23,2.54,2.34
22:03:36,3.12,2.23,0.32,2.8,2.51,2.27
22:03:36,3.11,2.19,0.24,2.3,2.48,2.27
22:03:37,3.13,2.07,0.15,2.35,2.47,2.26
22:03:37,3.13,2.12,0.12,2.1,2.46,2.28
22:03:37,3.14,1.93,0.53,2.4,2.47,2.27
22:03:37,3.15,1.91,0.55,1.95,2.48,2.30
22:03:37,3.1,2.1,0.55,2.27,2.47,2.29
22:03:38,3.18,1.86,0.53,2.37,2.48,2.29
22:03:38,3.35,2.28,0.53,2.75,2.49,2.26
22:03:38,3.28,2.2,0.56,2.46,2.49,2.27
22:03:38,3.24,2.31,0.51,2.49,2.47,2.26
22:03:38,3.14,1.67,0.52,2.61,2.50,2.23
22:03:38,3.05,1.93,0.54,2.53,2.49,2.19
22:03:39,3.09,1.95,0.59,2.53,2.48,2.17
22:03:39,3.24,2.3,0.56,2.53,2.47,2.17
22:03:39,3.19,2.05,0.52,2.47,2.47,2.17
22:03:39,3.19,1.83,0.54,2.53,2.50,2.17
22:03:39,3.23,1.68,0.56,2.56,2.53,2.17
22:03:40,3.39,1.74,0.53,2.61,2.58,2.18
22:03:40,3.2,1.92,0.5,2.88,2.58,2.13
22:03:40,3.12,2.02,0.44,2.66,2.56,2.11
22:03:40,3.1,2.16,0.37,2.24,2.53,2.13
22:03:40,3.19,1.92,0.32,2.29,2.54,2.15
22:03:41,2.97,1.98,0.27,2.14,2.51,2.16
22:03:41,3.1,1.98,0.26,2.04,2.50,2.19
22:03:41,3.21,1.97,0.26,2.13,2.51,2.23
22:03:41,3.33,2.02,0.3,2.56,2.53,2.23
22:03:41,3.34,2.07,0.34,2.02,2.55,2.29
22:03:41,3.34,2.26,0.3,2.05,2.54,2.34
22:03:42,3.4,2.36,0.25,2.13,2.54,2.38
22:03:42,3.33,2.22,0.22,2.05,2.54,2.42
22:03:42,3.88,2.34,0.35,2.05,2.61,2.54
22:03:42,3.66,2.19,0.33,2.06,2.65,2.60
22:03:42,3.34,2.17,0.46,2.12,2.64,2.60
22:03:42,3.38,2.31,0.55,2.13,2.62,2.61
22:03:43,3.33,2.12,0.63,2.16,2.62,2.60
22:03:43,3.26,2.11,0.63,2.38,2.61,2.57
22:03:43,3.3,2.0,0.64,2.14,2.61,2.57
22:03:43,3.15,1.89,0.71,2.27,2.61,2.53
22:03:43,3.13,1.75,0.62,2.62,2.61,2.46
22:03:43,3.1,2.58,0.67,2.57,2.53,2.40
22:03:44,3.2,2.09,0.66,2.09,2.52,2.41
22:03:44,3.44,2.62,0.45,2.4,2.50,2.42
22:03:44,3.45,2.25,0.41,2.24,2.51,2.45
22:03:44,3.3,2.31,0.45,2.07,2.50,2.47
22:03:44,3.22,2.24,0.48,2.17,2.49,2.47
22:03:45,3.14,2.42,0.46,2.21,2.45,2.45
22:03:45,3.19,2.47,0.48,2.32,2.41,2.43
22:03:45,3.17,2.01,0.51,2.12,2.42,2.43
22:03:45,3.09,1.94,0.55,2.23,2.43,2.41
22:03:45,3.11,2.22,0.54,2.28,2.41,2.39
22:03:45,3.2,2.08,0.25,2.34,2.42,2.37
22:03:46,3.11,2.25,0.38,2.1,2.40,2.37
22:03:46,3.14,2.23,0.61,2.48,2.39,2.34
22:03:46,2.97,1.88,0.59,2.13,2.39,2.32
22:03:46,2.89,2.25,0.61,2.26,2.34,2.29
22:03:46,2.92,2.06,0.38,2.4,2.33,2.24
22:03:46,3.2,2.26,0.37,2.68,2.33,2.21
22:03:47,3.63,2.24,0.36,2.41,2.40,2.28
22:03:47,3.34,2.18,0.42,2.06,2.42,2.33
22:03:47,3.16,2.27,0.47,2.11,2.41,2.34
22:03:47,3.27,2.46,0.56,2.36,2.39,2.34
22:03:47,3.28,2.26,0.54,2.29,2.40,2.35
22:03:48,3.02,1.71,0.58,2.06,2.41,2.35
22:03:48,3.19,1.7,0.55,1.83,2.45,2.39
22:03:48,2.64,2.02,0.57,2.23,2.39,2.31
22:03:48,2.85,2.35,0.62,2.14,2.33,2.28
22:03:48,2.76,1.31,0.73,1.97,2.35,2.26
22:03:48,2.98,1.89,0.76,1.89,2.35,2.28
22:03:49,2.5,1.38,0.86,1.85,2.34,2.24
22:03:49,2.85,1.34,0.94,1.83,2.36,2.25
22:03:49,2.58,1.41,1.07,2.11,2.35,2.20
22:03:49,2.62,1.33,1.18,1.99,2.35,2.17
22:03:49,2.51,1.12,1.32,2.07,2.35,2.12
22:03:49,2.43,1.25,1.36,1.74,2.33,2.11
22:03:50,2.52,1.13,1.48,1.6,2.34,2.11
22:03:50,2.29,1.04,1.5,2.14,2.32,2.04
22:03:50,2.22,0.96,1.56,1.83,2.30,2.01
22:03:50,2.19,1.12,1.56,1.69,2.27,1.98
22:03:50,2.09,1.42,1.73,1.61,2.22,1.96
22:03:50,2.03,1.28,2.23,1.49,2.18,1.94
22:03:51,2.0,1.6,2.23,1.42,2.12,1.92
22:03:51,1.64,1.84,1.75,1.32,2.02,1.89
22:03:51,1.62,1.8,1.85,1.24,1.94,1.86
22:03:51,1.66,1.92,1.77,1.22,1.86,1.84
22:03:51,1.67,1.53,1.75,1.26,1.82,1.82
22:03:52,1.46,1.65,2.05,1.3,1.77,1.79
22:03:52,1.55,1.71,1.98,1.35,1.72,1.76
22:03:52,1.52,1.81,2.05,1.3,1.67,1.74
22:03:52,1.46,1.68,2.09,1.38,1.63,1.72
22:03:52,1.46,1.59,1.96,1.46,1.61,1.69
22:03:52,1.45,1.62,2.01,1.44,1.58,1.66
22:03:53,1.47,1.56,2.03,1.44,1.56,1.64
22:03:53,1.47,1.63,2.0,1.46,1.54,1.62
22:03:53,1.48,1.64,2.03,1.4,1.53,1.61
22:03:53,1.46,1.62,2.07,1.39,1.51,1.60
22:03:53,1.46,1.66,2.13,1.41,1.50,1.59
22:03:53,1.49,1.72,2.03,1.42,1.48,1.58
22:03:54,1.46,1.68,2.05,1.4,1.47,1.58
22:03:54,1.47,1.63,2.04,1.46,1.46,1.57
22:03:54,1.45,1.65,2.13,1.44,1.45,1.56
22:03:54,1.45,1.65,2.22,1.47,1.45,1.55
22:03:54,1.45,1.64,2.19,1.41,1.44,1.54
22:03:55,1.42,1.62,2.18,1.45,1.44,1.54
22:03:55,1.45,1.61,2.21,1.43,1.43,1.53
22:03:55,1.43,1.63,1.98,1.44,1.43,1.53
22:03:55,1.45,1.61,2.15,1.44,1.43,1.53
22:03:55,1.47,1.51,2.09,1.4,1.43,1.53
22:03:55,1.47,1.6,2.08,1.42,1.43,1.53
22:03:56,1.45,1.61,2.05,1.44,1.43,1.52
22:03:56,1.45,1.55,2.12,1.41,1.43,1.52
22:03:56,1.47,1.6,2.08,1.43,1.43,1.52
22:03:56,1.45,1.64,2.05,1.46,1.43,1.52
22:03:56,1.46,1.64,1.98,1.42,1.43,1.52
22:03:56,1.45,1.61,2.04,1.45,1.43,1.52
22:03:57,1.45,1.55,2.17,1.48,1.43,1.51
22:03:57,1.43,1.56,2.15,1.58,1.43,1.50
22:03:57,1.45,1.43,1.99,1.73,1.44,1.48
22:03:57,1.45,1.4,2.1,1.75,1.45,1.46
22:03:57,1.46,1.43,2.25,1.23,1.46,1.48
22:03:57,1.52,1.45,2.26,1.73,1.47,1.47
22:03:57,1.61,1.44,2.14,1.73,1.48,1.46
22:03:58,1.8,1.25,2.24,1.59,1.52,1.48
22:03:58,1.56,1.32,2.07,1.33,1.54,1.50
22:03:58,1.52,1.37,2.12,1.32,1.54,1.51
22:03:58,1.79,1.53,2.09,1.38,1.55,1.54
22:03:58,1.72,1.75,2.12,1.32,1.54,1.56
22:03:59,1.42,1.76,2.2,1.36,1.51,1.56
22:03:59,1.44,1.83,2.31,1.36,1.48,1.55
22:03:59,1.33,1.79,2.4,1.26,1.46,1.55
22:03:59,1.26,1.81,2.43,1.37,1.42,1.54
22:03:59,1.22,1.82,2.46,1.48,1.39,1.52
22:03:59,1.14,1.86,2.54,1.36,1.36,1.50
22:04:00,1.16,1.83,2.55,1.64,1.34,1.47
22:04:00,1.11,1.89,2.35,1.45,1.31,1.46
22:04:00,1.11,2.08,2.57,1.5,1.26,1.44
22:04:00,1.13,1.89,2.41,1.53,1.24,1.42
22:04:00,1.16,1.94,2.53,1.5,1.23,1.41
22:04:00,1.19,1.93,2.53,1.65,1.21,1.40
22:04:01,1.17,2.0,2.57,1.59,1.19,1.39
22:04:01,1.2,1.97,2.52,1.52,1.18,1.38
22:04:01,1.21,1.91,2.58,1.41,1.17,1.38
22:04:01,1.19,1.91,2.48,1.5,1.17,1.38
22:04:01,1.19,1.99,2.68,1.47,1.16,1.38
22:04:02,1.17,2.05,2.61,1.5,1.14,1.38
22:04:02,1.25,1.91,2.52,1.41,1.14,1.38
22:04:02,1.36,2.37,2.47,1.52,1.11,1.39
22:04:02,1.55,2.21,2.3,1.14,1.10,1.43
22:04:02,1.48,1.83,2.43,1.38,1.13,1.44
22:04:02,1.72,1.8,2.25,1.12,1.17,1.49
22:04:03,1.98,2.14,2.07,1.0,1.20,1.55
22:04:03,1.91,1.82,1.6,0.98,1.25,1.61
22:04:03,2.05,1.78,1.62,0.9,1.30,1.67
22:04:03,2.13,1.9,1.64,0.84,1.35,1.73
22:04:03,2.26,2.21,1.44,0.82,1.37,1.80
22:04:03,2.18,2.14,1.4,0.83,1.40,1.85
22:04:04,2.21,2.15,1.31,0.83,1.41,1.89
22:04:04,2.44,2.29,1.19,0.86,1.44,1.96
22:04:04,2.45,2.63,1.45,0.92,1.43,2.01
22:04:04,2.61,2.09,1.46,0.96,1.49,2.07
22:04:04,2.62,2.21,1.49,0.99,1.54,2.13
22:04:04,2.64,2.17,1.58,1.0,1.58,2.17
22:04:05,2.59,2.35,1.52,1.01,1.60,2.21
22:04:05,2.62,2.21,1.55,1.0,1.63,2.25
22:04:05,2.6,2.39,1.33,1.02,1.63,2.27
22:04:05,2.64,2.41,1.57,1.01,1.64,2.30
22:04:05,2.64,2.25,0.91,1.0,1.66,2.33
22:04:06,2.62,2.4,1.11,0.98,1.67,2.35
22:04:06,2.6,2.29,1.37,0.99,1.68,2.36
22:04:06,2.58,2.13,1.35,0.99,1.70,2.37
22:04:06,2.74,2.52,1.13,1.0,1.70,2.40
22:04:06,2.7,2.2,1.02,1.04,1.73,2.42
22:04:06,2.76,2.12,1.07,1.19,1.77,2.43
22:04:07,2.85,2.13,1.14,1.31,1.81,2.45
22:04:07,2.89,2.08,1.12,1.42,1.86,2.46
22:04:07,3.01,2.09,1.0,1.54,1.91,2.48
22:04:07,3.42,2.01,0.91,1.71,2.03,2.55
22:04:07,3.07,1.89,0.65,1.9,2.09,2.54
22:04:07,2.87,1.85,0.57,1.92,2.11,2.50
22:04:08,3.14,2.04,0.57,2.06,2.16,2.49
22:04:08,3.18,1.79,0.52,2.13,2.22,2.48
22:04:08,3.15,2.02,0.43,2.17,2.26,2.47
22:04:08,3.14,1.72,0.6,2.08,2.31,2.46
22:04:08,3.19,2.0,0.61,2.11,2.34,2.46
22:04:09,3.18,1.95,0.57,2.72,2.37,2.39
22:04:09,3.24,1.96,0.69,2.67,2.40,2.35
22:04:09,3.23,1.92,0.77,2.81,2.43,2.29
22:04:09,3.17,1.76,0.98,2.83,2.46,2.23
22:04:09,3.16,1.77,0.52,2.13,2.48,2.26
22:04:09,3.14,1.82,0.58,2.3,2.50,2.26
22:04:10,3.22,1.79,0.77,2.21,2.52,2.28
22:04:10,3.21,1.9,0.72,2.28,2.53,2.29
22:04:10,3.2,2.12,0.69,2.22,2.52,2.30
22:04:10,3.16,2.21,0.72,2.22,2.50,2.31
22:04:10,3.1,2.24,0.7,2.22,2.47,2.30
22:04:10,3.09,2.41,0.7,2.29,2.42,2.29
22:04:11,3.07,2.29,0.67,2.2,2.40,2.29
22:04:11,3.11,2.48,0.62,2.31,2.36,2.28
22:04:11,3.02,1.9,0.53,2.21,2.36,2.27
22:04:11,2.9,1.9,0.57,3.34,2.36,2.11
22:04:11,2.91,1.77,0.48,2.14,2.36,2.11
22:04:11,2.96,1.99,0.47,2.01,2.35,2.14
22:04:12,3.14,2.08,0.53,2.0,2.36,2.18
22:04:12,3.13,2.2,0.5,2.59,2.36,2.16
22:04:12,3.29,2.21,0.51,2.62,2.37,2.16
22:04:12,3.31,2.27,0.33,2.98,2.39,2.12
22:04:12,3.35,1.94,0.35,2.39,2.43,2.16
22:04:13,2.97,2.03,0.38,2.27,2.41,2.15
22:04:13,3.26,2.15,0.38,2.18,2.42,2.20
22:04:13,3.58,2.08,0.36,2.19,2.49,2.28
22:04:13,3.67,2.1,0.35,2.2,2.56,2.37
22:04:13,3.66,2.27,0.35,2.17,2.60,2.44
22:04:13,3.65,2.23,0.38,2.21,2.64,2.51
22:04:14,3.65,2.22,0.44,2.2,2.67,2.56
22:04:14,3.66,2.14,0.43,2.2,2.71,2.61
22:04:14,3.59,2.14,0.43,2.19,2.73,2.64
22:04:14,3.55,2.19,0.43,2.21,2.74,2.66
22:04:14,3.44,2.11,0.43,2.2,2.74,2.66
22:04:14,3.46,2.17,0.43,2.21,2.74,2.66
22:04:15,3.47,2.1,0.45,2.19,2.74,2.67
22:04:15,3.48,2.13,0.41,2.2,2.74,2.67
22:04:15,3.46,2.12,0.44,2.19,2.74,2.68
22:04:15,3.46,2.15,0.45,2.19,2.74,2.68
22:04:15,3.5,2.13,0.44,2.18,2.75,2.69
22:04:15,3.5,2.18,0.45,2.16,2.75,2.70
22:04:16,3.55,2.2,0.45,2.17,2.75,2.72
22:04:16,3.47,2.21,0.46,2.23,2.75,2.71
22:04:16,3.48,2.14,0.45,2.16,2.75,2.71
22:04:16,3.42,2.12,0.47,2.18,2.74,2.71
22:04:16,3.46,2.18,0.46,2.17,2.74,2.71
22:04:16,3.47,2.19,0.47,2.2,2.73,2.71
22:04:17,3.48,2.18,0.49,2.17,2.73,2.71
22:04:17,3.51,2.08,0.46,2.21,2.74,2.71
22:04:17,3.48,2.16,0.46,2.2,2.74,2.71
22:04:17,3.53,2.04,0.46,2.16,2.76,2.72
22:04:17,2.96,1.95,0.46,2.19,2.71,2.65
22:04:17,3.14,2.2,0.46,2.12,2.66,2.62
22:04:18,3.18,2.51,0.46,2.12,2.59,2.59
22:04:18,3.25,2.87,0.45,2.2,2.50,2.57
22:04:18,3.23,2.19,0.48,2.17,2.49,2.56
22:04:18,3.12,2.22,0.47,2.19,2.46,2.53
22:04:18,3.14,2.23,0.46,2.2,2.44,2.50
22:04:19,3.24,2.2,0.44,2.2,2.44,2.49
22:04:19,3.34,2.12,0.45,2.17,2.47,2.50
22:04:19,3.24,2.24,0.44,2.18,2.46,2.50
22:04:19,3.26,2.22,0.45,2.14,2.46,2.50
22:04:19,3.21,2.26,0.47,2.18,2.45,2.49
22:04:19,3.13,2.27,0.44,2.17,2.42,2.47
22:04:20,3.17,2.24,0.45,2.19,2.41,2.46
22:04:20,3.15,2.24,0.46,2.19,2.40,2.45
22:04:20,3.18,2.23,0.48,2.21,2.39,2.44
22:04:20,3.19,2.24,0.46,2.2,2.39,2.43
22:04:20,3.21,2.16,0.46,2.23,2.40,2.42
22:04:20,3.16,2.19,0.45,2.21,2.39,2.41
22:04:21,3.19,2.2,0.45,2.22,2.39,2.41
22:04:21,3.18,2.18,0.47,2.18,2.39,2.41
22:04:21,3.2,2.15,0.46,2.2,2.40,2.41
22:04:21,3.17,2.13,0.45,2.21,2.40,2.40
22:04:21,3.13,2.14,0.47,2.2,2.40,2.39
22:04:21,3.19,2.19,0.46,2.18,2.40,2.39
22:04:22,3.19,2.22,0.46,2.2,2.39,2.39
22:04:22,3.2,2.21,0.46,2.21,2.39,2.39
22:04:22,3.2,2.2,0.44,2.17,2.39,2.39
22:04:22,3.23,2.22,0.48,2.19,2.40,2.40
22:04:22,3.19,2.19,0.47,2.21,2.40,2.40
22:04:23,3.19,2.21,0.46,2.2,2.40,2.40
22:04:23,3.2,2.19,0.45,2.18,2.40,2.40
22:04:23,3.18,2.18,0.47,2.21,2.40,2.39
22:04:23,3.18,2.24,0.48,2.25,2.39,2.39
22:04:23,3.15,2.21,0.48,2.2,2.38,2.38
22:04:23,3.2,2.24,0.47,2.23,2.38,2.38
22:04:24,3.2,2.21,0.5,2.21,2.38,2.38
22:04:24,3.18,2.21,0.46,2.2,2.38,2.38
22:04:24,3.2,2.19,0.46,2.21,2.38,2.38
22:04:24,3.19,2.17,0.46,2.17,2.39,2.39
22:04:24,3.19,2.19,0.46,2.19,2.39,2.39
22:04:24,3.15,2.24,0.47,2.18,2.38,2.39
22:04:25,3.21,2.21,0.46,2.19,2.38,2.39
22:04:25,3.19,2.24,0.46,2.18,2.38,2.39
22:04:25,3.19,2.23,0.47,2.21,2.38,2.39
22:04:25,3.2,2.21,0.46,2.23,2.38,2.39
22:04:25,3.16,2.25,0.47,2.2,2.37,2.38
22:04:26,3.22,2.27,0.49,2.2,2.37,2.39
22:04:26,3.19,2.21,0.47,2.21,2.37,2.39
22:04:26,3.14,2.21,0.49,2.18,2.37,2.38
22:04:26,3.2,2.23,0.47,2.2,2.37,2.39
22:04:26,3.13,2.23,0.45,2.22,2.36,2.38
22:04:26,3.15,2.23,0.46,2.19,2.35,2.37
22:04:27,3.15,2.21,0.46,2.21,2.35,2.37
22:04:27,3.15,2.21,0.46,2.18,2.35,2.37
22:04:27,3.16,2.21,0.47,2.21,2.35,2.36
22:04:27,3.2,2.25,0.47,2.22,2.35,2.37
22:04:27,3.15,2.22,0.48,2.2,2.35,2.37
22:04:27,3.17,2.2,0.45,2.18,2.35,2.37
22:04:28,3.18,2.23,0.44,2.19,2.35,2.37
22:04:28,3.2,2.21,0.46,2.23,2.36,2.37
22:04:28,3.18,2.21,0.48,2.21,2.36,2.37
22:04:28,3.15,2.42,0.48,2.2,2.34,2.37
22:04:28,3.17,2.28,0.45,2.21,2.33,2.37
22:04:28,3.11,2.22,0.46,2.2,2.33,2.36
22:04:29,3.05,2.29,0.49,2.2,2.31,2.34
22:04:29,3.04,2.23,0.47,2.17,2.29,2.33
22:04:29,3.05,2.08,0.46,2.21,2.30,2.32
22:04:29,3.08,2.42,0.46,2.22,2.27,2.31
22:04:29,3.08,2.59,0.45,2.23,2.23,2.30
22:04:30,3.02,2.58,0.46,2.21,2.19,2.29
22:04:30,3.04,2.62,0.48,2.23,2.15,2.28
22:04:30,3.08,2.48,0.46,2.24,2.14,2.28
22:04:30,3.06,2.47,0.49,2.22,2.13,2.27
